battery_id,cycle,Q_dot_W_m3,t_cycle_s,T_core_FTCS,T_surface_FTCS,delta_T_FTCS,T_core_Greens,T_surface_Greens,delta_T_Greens,error_core,error_surface
B5,1,1084.8464,7150.3,25.516549575877047,25.473053062892696,0.0434965129843512,25.5306,25.491,0.0395,-0.014050424122952876,-0.017946937107303995
B5,2,1012.2784,7150.46,25.481996325180916,25.441409399170883,0.04058692601003244,25.4951,25.4582,0.0369,-0.013103674819085143,-0.01679060082911832
B5,3,1140.164,7143.31,25.542881064673512,25.49716729772981,0.04571376694370244,25.5576,25.5161,0.0415,-0.014718935326488491,-0.018932702270191726
B5,4,1299.7572,7089.25,25.618798201982408,25.566691878154113,0.052106323828294165,25.6356,25.5882,0.0474,-0.016801798017592517,-0.021508121845887018
B5,5,1270.2252,7109.5,25.60476548874642,25.55384075734033,0.05092473140609144,25.6212,25.5749,0.0463,-0.016434511253581974,-0.021059242659671185
B5,6,1265.9509,7114.68,25.602736974897596,25.551983045981302,0.05075392891629349,25.6191,25.573,0.0461,-0.01636302510240384,-0.021016954018698186
B5,7,1174.0896,7076.51,25.558953935374035,25.51188686261015,0.047067072763884,25.5741,25.5313,0.0428,-0.01514606462596646,-0.019413137389850732
B5,8,1080.3339,7052.97,25.514291466244394,25.470985267989896,0.04330619825449844,25.5282,25.4889,0.0394,-0.013908533755603969,-0.017914732010105183
B5,9,1017.6069,7047.03,25.484424291811433,25.443633084905123,0.04079120690630944,25.4976,25.4605,0.0371,-0.013175708188565949,-0.01686691509487659
B5,10,1168.9849,7024.26,25.556457154662645,25.50960042744337,0.04685672721927503,25.5715,25.529,0.0426,-0.015042845337355004,-0.019399572556629607
B5,11,1189.3747,6983.32,25.56610805134053,25.51843875072089,0.04766930061964203,25.5814,25.5381,0.0433,-0.015291948659466925,-0.019661249279110393
B5,12,1078.1003,7005.0,25.513171612076395,25.469959798877852,0.043211813198542615,25.5271,25.4878,0.0393,-0.013928387923606067,-0.017840201122147903
B5,13,1039.8667,6978.07,25.494940577272896,25.453263964660366,0.041676612612530306,25.5083,25.4705,0.0379,-0.013359422727102555,-0.01723603533963569
B5,14,1179.5311,6962.34,25.56139410781778,25.514121790423296,0.047272317394483565,25.5766,25.5336,0.043,-0.015205892182219571,-0.019478209576703875
B5,15,1327.754,6944.71,25.63191299453666,25.57870266050708,0.05321033402957909,25.649,25.6007,0.0484,-0.017087005463341853,-0.02199733949291982
B5,16,1280.8421,6920.02,25.609548816145548,25.558221719201992,0.05132709694355597,25.626,25.5794,0.0466,-0.016451183854453433,-0.021178280798007876
B5,17,1150.6159,6899.6,25.54754578786636,25.50143970422199,0.04610608364436786,25.5624,25.5205,0.0419,-0.014854212133641909,-0.01906029577800794
B5,18,1084.894,6882.34,25.51624704457843,25.47277650734475,0.04347053723368077,25.5302,25.4907,0.0395,-0.013952955421569158,-0.017923492655249618
